time,"P(B)","P(Q)"
6.255000e-12,9.391748e-01,1.002039e+00
6.270000e-12,9.393982e-01,1.002373e+00
6.285000e-12,9.396045e-01,1.002684e+00
6.300000e-12,9.397943e-01,1.002974e+00
6.315000e-12,9.399684e-01,1.003243e+00
6.330000e-12,9.401277e-01,1.003492e+00
6.345000e-12,9.402727e-01,1.003721e+00
6.360000e-12,9.404044e-01,1.003931e+00
6.375000e-12,9.405234e-01,1.004124e+00
6.390000e-12,9.406306e-01,1.004299e+00
6.405000e-12,9.407267e-01,1.004458e+00
6.420000e-12,9.408124e-01,1.004602e+00
6.435000e-12,9.408886e-01,1.004730e+00
6.450000e-12,9.409559e-01,1.004845e+00
6.465000e-12,9.410152e-01,1.004946e+00
6.480000e-12,9.410671e-01,1.005035e+00
6.495000e-12,9.411124e-01,1.005112e+00
6.510000e-12,9.411519e-01,1.005178e+00
6.525000e-12,9.411862e-01,1.005235e+00
6.540000e-12,9.412161e-01,1.005282e+00
6.555000e-12,9.412422e-01,1.005320e+00
6.570000e-12,9.412654e-01,1.005352e+00
6.585000e-12,9.412861e-01,1.005376e+00
6.600000e-12,9.413052e-01,1.005394e+00
6.615000e-12,9.413233e-01,1.005407e+00
6.630000e-12,9.413410e-01,1.005416e+00
6.645000e-12,9.413589e-01,1.005421e+00
6.660000e-12,9.413778e-01,1.005423e+00
6.675000e-12,9.413981e-01,1.005423e+00
6.690000e-12,9.414205e-01,1.005422e+00
6.705000e-12,9.414456e-01,1.005420e+00
6.720000e-12,9.414739e-01,1.005418e+00
6.735000e-12,9.415060e-01,1.005417e+00
6.750000e-12,9.415424e-01,1.005417e+00
6.765000e-12,9.415836e-01,1.005419e+00
6.780000e-12,9.416300e-01,1.005425e+00
6.795000e-12,9.416823e-01,1.005434e+00
6.810000e-12,9.417408e-01,1.005447e+00
6.825000e-12,9.418059e-01,1.005465e+00
6.840000e-12,9.418782e-01,1.005489e+00
6.855000e-12,9.419579e-01,1.005519e+00
6.870000e-12,9.420455e-01,1.005555e+00
6.885000e-12,9.421414e-01,1.005599e+00
6.900000e-12,9.422458e-01,1.005650e+00
6.915000e-12,9.423591e-01,1.005710e+00
6.930000e-12,9.424817e-01,1.005778e+00
6.945000e-12,9.426137e-01,1.005856e+00
6.960000e-12,9.427554e-01,1.005944e+00
6.975000e-12,9.429072e-01,1.006041e+00
6.990000e-12,9.430691e-01,1.006150e+00
7.005000e-12,9.432415e-01,1.006270e+00
7.020000e-12,9.434244e-01,1.006401e+00
7.035000e-12,9.436181e-01,1.006544e+00
7.050000e-12,9.438226e-01,1.006699e+00
7.065000e-12,9.440382e-01,1.006866e+00
7.080000e-12,9.442648e-01,1.007046e+00
7.095000e-12,9.445026e-01,1.007240e+00
7.110000e-12,9.447516e-01,1.007446e+00
7.125000e-12,9.450118e-01,1.007667e+00
7.140000e-12,9.452834e-01,1.007900e+00
7.155000e-12,9.455662e-01,1.008148e+00
7.170000e-12,9.458602e-01,1.008410e+00
7.185000e-12,9.461654e-01,1.008686e+00
7.200000e-12,9.464817e-01,1.008976e+00
7.215000e-12,9.468091e-01,1.009280e+00
7.230000e-12,9.471474e-01,1.009599e+00
7.245000e-12,9.474966e-01,1.009932e+00
7.260000e-12,9.478564e-01,1.010280e+00
7.275000e-12,9.482267e-01,1.010642e+00
7.290000e-12,9.486074e-01,1.011018e+00
7.305000e-12,9.489983e-01,1.011408e+00
7.320000e-12,9.493992e-01,1.011813e+00
7.335000e-12,9.498097e-01,1.012232e+00
7.350000e-12,9.502298e-01,1.012664e+00
7.365000e-12,9.506591e-01,1.013111e+00
7.380000e-12,9.510975e-01,1.013571e+00
7.395000e-12,9.515445e-01,1.014044e+00
7.410000e-12,9.519999e-01,1.014530e+00
7.425000e-12,9.524634e-01,1.015030e+00
7.440000e-12,9.529347e-01,1.015541e+00
7.455000e-12,9.534135e-01,1.016066e+00
7.470000e-12,9.538993e-01,1.016602e+00
7.485000e-12,9.543919e-01,1.017150e+00
7.500000e-12,9.548909e-01,1.017709e+00
7.515000e-12,9.553959e-01,1.018279e+00
7.530000e-12,9.559066e-01,1.018860e+00
7.545000e-12,9.564225e-01,1.019451e+00
7.560000e-12,9.569432e-01,1.020052e+00
7.575000e-12,9.574684e-01,1.020662e+00
7.590000e-12,9.579976e-01,1.021282e+00
7.605000e-12,9.585304e-01,1.021909e+00
7.620000e-12,9.590664e-01,1.022545e+00
7.635000e-12,9.596052e-01,1.023188e+00
7.650000e-12,9.601463e-01,1.023838e+00
7.665000e-12,9.606893e-01,1.024495e+00
7.680000e-12,9.612338e-01,1.025158e+00
7.695000e-12,9.617794e-01,1.025826e+00
7.710000e-12,9.623255e-01,1.026500e+00
7.725000e-12,9.628719e-01,1.027178e+00
7.740000e-12,9.634179e-01,1.027859e+00
7.755000e-12,9.639633e-01,1.028544e+00
7.770000e-12,9.645075e-01,1.029232e+00
7.785000e-12,9.650502e-01,1.029923e+00
7.800000e-12,9.655909e-01,1.030614e+00
7.815000e-12,9.661291e-01,1.031308e+00
7.830000e-12,9.666646e-01,1.032001e+00
7.845000e-12,9.671968e-01,1.032695e+00
7.860000e-12,9.677253e-01,1.033388e+00
7.875000e-12,9.682498e-01,1.034080e+00
7.890000e-12,9.687699e-01,1.034770e+00
7.905000e-12,9.692851e-01,1.035458e+00
7.920000e-12,9.697952e-01,1.036144e+00
7.935000e-12,9.702996e-01,1.036826e+00
7.950000e-12,9.707981e-01,1.037504e+00
7.965000e-12,9.712904e-01,1.038178e+00
7.980000e-12,9.717760e-01,1.038847e+00
7.995000e-12,9.722547e-01,1.039510e+00
8.010000e-12,9.727260e-01,1.040168e+00
8.025000e-12,9.731898e-01,1.040819e+00
8.040000e-12,9.736457e-01,1.041463e+00
8.055000e-12,9.740935e-01,1.042100e+00
8.070000e-12,9.745328e-01,1.042729e+00
8.085000e-12,9.749634e-01,1.043349e+00
8.100000e-12,9.753851e-01,1.043961e+00
8.115000e-12,9.757975e-01,1.044563e+00
8.130000e-12,9.762006e-01,1.045155e+00
8.145000e-12,9.765941e-01,1.045738e+00
8.160000e-12,9.769778e-01,1.046310e+00
8.175000e-12,9.773515e-01,1.046871e+00
8.190000e-12,9.777151e-01,1.047421e+00
8.205000e-12,9.780684e-01,1.047959e+00
8.220000e-12,9.784113e-01,1.048486e+00
8.235000e-12,9.787436e-01,1.049000e+00
8.250000e-12,9.790653e-01,1.049501e+00
8.265000e-12,9.793763e-01,1.049990e+00
8.280000e-12,9.796764e-01,1.050466e+00
8.295000e-12,9.799657e-01,1.050928e+00
8.310000e-12,9.802440e-01,1.051377e+00
8.325000e-12,9.805114e-01,1.051812e+00
8.340000e-12,9.807678e-01,1.052233e+00
8.355000e-12,9.810133e-01,1.052640e+00
8.370000e-12,9.812477e-01,1.053032e+00
8.385000e-12,9.814712e-01,1.053410e+00
8.400000e-12,9.816838e-01,1.053774e+00
8.415000e-12,9.818855e-01,1.054123e+00
8.430000e-12,9.820764e-01,1.054457e+00
8.445000e-12,9.822566e-01,1.054776e+00
8.460000e-12,9.824261e-01,1.055081e+00
8.475000e-12,9.825851e-01,1.055371e+00
8.490000e-12,9.827337e-01,1.055645e+00
8.505000e-12,9.828719e-01,1.055905e+00
8.520000e-12,9.830000e-01,1.056150e+00
8.535000e-12,9.831181e-01,1.056381e+00
8.550000e-12,9.832262e-01,1.056596e+00
8.565000e-12,9.833247e-01,1.056797e+00
8.580000e-12,9.834136e-01,1.056984e+00
8.595000e-12,9.834932e-01,1.057156e+00
8.610000e-12,9.835636e-01,1.057314e+00
8.625000e-12,9.836250e-01,1.057457e+00
8.640000e-12,9.836777e-01,1.057587e+00
8.655000e-12,9.837219e-01,1.057703e+00
8.670000e-12,9.837577e-01,1.057805e+00
8.685000e-12,9.837855e-01,1.057894e+00
8.700000e-12,9.838054e-01,1.057970e+00
