time,"P(A)","P(B)","P(CLK)","P(ROUT)"
3.325000e-12,7.503449e-01,5.480280e-01,6.862921e-01,2.803910e-01
3.350000e-12,7.578224e-01,5.533194e-01,6.923541e-01,2.839956e-01
3.375000e-12,7.653952e-01,5.586608e-01,6.985035e-01,2.876203e-01
3.400000e-12,7.730617e-01,5.640511e-01,7.047386e-01,2.912650e-01
3.425000e-12,7.808207e-01,5.694895e-01,7.110576e-01,2.949298e-01
3.450000e-12,7.886703e-01,5.749746e-01,7.174585e-01,2.986147e-01
3.475000e-12,7.966090e-01,5.805051e-01,7.239394e-01,3.023196e-01
3.500000e-12,8.046348e-01,5.860795e-01,7.304979e-01,3.060444e-01
3.525000e-12,8.127453e-01,5.916963e-01,7.371321e-01,3.097891e-01
3.550000e-12,8.209382e-01,5.973538e-01,7.438397e-01,3.135535e-01
3.575000e-12,8.292105e-01,6.030501e-01,7.506185e-01,3.173374e-01
3.600000e-12,8.375591e-01,6.087834e-01,7.574662e-01,3.211406e-01
3.625000e-12,8.459805e-01,6.145516e-01,7.643806e-01,3.249630e-01
3.650000e-12,8.544705e-01,6.203528e-01,7.713594e-01,3.288043e-01
3.675000e-12,8.630249e-01,6.261849e-01,7.784006e-01,3.326643e-01
3.700000e-12,8.716387e-01,6.320456e-01,7.855019e-01,3.365426e-01
3.725000e-12,8.803066e-01,6.379327e-01,7.926613e-01,3.404391e-01
3.750000e-12,8.890228e-01,6.438440e-01,7.998767e-01,3.443533e-01
3.775000e-12,8.977811e-01,6.497773e-01,8.071460e-01,3.482849e-01
3.800000e-12,9.065750e-01,6.557302e-01,8.144675e-01,3.522337e-01
3.825000e-12,9.153972e-01,6.617004e-01,8.218392e-01,3.561993e-01
3.850000e-12,9.242405e-01,6.676857e-01,8.292595e-01,3.601812e-01
3.875000e-12,9.330970e-01,6.736838e-01,8.367265e-01,3.641792e-01
3.900000e-12,9.419588e-01,6.796923e-01,8.442388e-01,3.681928e-01
3.925000e-12,9.508176e-01,6.857091e-01,8.517947e-01,3.722217e-01
3.950000e-12,9.596650e-01,6.917320e-01,8.593929e-01,3.762655e-01
3.975000e-12,9.684925e-01,6.977589e-01,8.670320e-01,3.803238e-01
4.000000e-12,9.772915e-01,7.037876e-01,8.747106e-01,3.843962e-01
4.025000e-12,9.860536e-01,7.098161e-01,8.824278e-01,3.884823e-01
4.050000e-12,9.947704e-01,7.158426e-01,8.901822e-01,3.925818e-01
4.075000e-12,1.003434e+00,7.218650e-01,8.979728e-01,3.966942e-01
4.100000e-12,1.012036e+00,7.278816e-01,9.057987e-01,4.008192e-01
4.125000e-12,1.020569e+00,7.338908e-01,9.136590e-01,4.049565e-01
4.150000e-12,1.029026e+00,7.398908e-01,9.215528e-01,4.091056e-01
4.175000e-12,1.037401e+00,7.458803e-01,9.294792e-01,4.132662e-01
4.200000e-12,1.045688e+00,7.518578e-01,9.374375e-01,4.174380e-01
4.225000e-12,1.053880e+00,7.578220e-01,9.454270e-01,4.216207e-01
4.250000e-12,1.061975e+00,7.637717e-01,9.534470e-01,4.258139e-01
4.275000e-12,1.069967e+00,7.697059e-01,9.614968e-01,4.300174e-01
4.300000e-12,1.077855e+00,7.756237e-01,9.695759e-01,4.342308e-01
4.325000e-12,1.085635e+00,7.815242e-01,9.776835e-01,4.384539e-01
4.350000e-12,1.093306e+00,7.874067e-01,9.858190e-01,4.426865e-01
4.375000e-12,1.100868e+00,7.932707e-01,9.939820e-01,4.469283e-01
4.400000e-12,1.108322e+00,7.991157e-01,1.002172e+00,4.511791e-01
4.425000e-12,1.115668e+00,8.049414e-01,1.010387e+00,4.554386e-01
4.450000e-12,1.122909e+00,8.107476e-01,1.018629e+00,4.597068e-01
4.475000e-12,1.130048e+00,8.165343e-01,1.026895e+00,4.639835e-01
4.500000e-12,1.137089e+00,8.223014e-01,1.035185e+00,4.682684e-01
4.525000e-12,1.144037e+00,8.280492e-01,1.043499e+00,4.725615e-01
4.550000e-12,1.150896e+00,8.337780e-01,1.051836e+00,4.768626e-01
4.575000e-12,1.157673e+00,8.394881e-01,1.060195e+00,4.811717e-01
4.600000e-12,1.164375e+00,8.451800e-01,1.068575e+00,4.854886e-01
4.625000e-12,1.171008e+00,8.508545e-01,1.076976e+00,4.898134e-01
4.650000e-12,1.177581e+00,8.565122e-01,1.085396e+00,4.941459e-01
4.675000e-12,1.184101e+00,8.621541e-01,1.093835e+00,4.984862e-01
4.700000e-12,1.190577e+00,8.677809e-01,1.102292e+00,5.028341e-01
4.725000e-12,1.197018e+00,8.733938e-01,1.110766e+00,5.071898e-01
4.750000e-12,1.203431e+00,8.789938e-01,1.119256e+00,5.115532e-01
4.775000e-12,1.209826e+00,8.845822e-01,1.127761e+00,5.159243e-01
4.800000e-12,1.216212e+00,8.901603e-01,1.136280e+00,5.203031e-01
4.825000e-12,1.222596e+00,8.957293e-01,1.144812e+00,5.246898e-01
4.850000e-12,1.228988e+00,9.012907e-01,1.153356e+00,5.290844e-01
4.875000e-12,1.235396e+00,9.068460e-01,1.161910e+00,5.334869e-01
4.900000e-12,1.241828e+00,9.123968e-01,1.170475e+00,5.378974e-01
4.925000e-12,1.248290e+00,9.179445e-01,1.179048e+00,5.423160e-01
