time,"I(L1|XDUT)"
1.072500e-11,5.977796e-06
1.075000e-11,5.975395e-06
1.077500e-11,5.972963e-06
1.080000e-11,5.970514e-06
1.082500e-11,5.968062e-06
1.085000e-11,5.965620e-06
1.087500e-11,5.963202e-06
1.090000e-11,5.960821e-06
1.092500e-11,5.958491e-06
1.095000e-11,5.956224e-06
1.097500e-11,5.954033e-06
1.100000e-11,5.951929e-06
1.102500e-11,5.949925e-06
1.105000e-11,5.948030e-06
1.107500e-11,5.946256e-06
1.110000e-11,5.944611e-06
1.112500e-11,5.943104e-06
1.115000e-11,5.941742e-06
1.117500e-11,5.940533e-06
1.120000e-11,5.939482e-06
1.122500e-11,5.938594e-06
1.125000e-11,5.937873e-06
1.127500e-11,5.937321e-06
1.130000e-11,5.936940e-06
1.132500e-11,5.936731e-06
1.135000e-11,5.936694e-06
1.137500e-11,5.936825e-06
1.140000e-11,5.937124e-06
1.142500e-11,5.937586e-06
1.145000e-11,5.938207e-06
1.147500e-11,5.938980e-06
1.150000e-11,5.939899e-06
1.152500e-11,5.940957e-06
1.155000e-11,5.942144e-06
1.157500e-11,5.943451e-06
1.160000e-11,5.944868e-06
1.162500e-11,5.946384e-06
1.165000e-11,5.947988e-06
1.167500e-11,5.949667e-06
1.170000e-11,5.951408e-06
1.172500e-11,5.953198e-06
1.175000e-11,5.955024e-06
1.177500e-11,5.956872e-06
1.180000e-11,5.958727e-06
1.182500e-11,5.960575e-06
1.185000e-11,5.962403e-06
1.187500e-11,5.964195e-06
1.190000e-11,5.965937e-06
1.192500e-11,5.967616e-06
1.195000e-11,5.969218e-06
1.197500e-11,5.970729e-06
1.200000e-11,5.972136e-06
1.202500e-11,5.973428e-06
1.205000e-11,5.974591e-06
1.207500e-11,5.975616e-06
1.210000e-11,5.976490e-06
1.212500e-11,5.977205e-06
1.215000e-11,5.977752e-06
1.217500e-11,5.978123e-06
1.220000e-11,5.978309e-06
1.222500e-11,5.978307e-06
1.225000e-11,5.978109e-06
1.227500e-11,5.977713e-06
1.230000e-11,5.977115e-06
1.232500e-11,5.976312e-06
1.235000e-11,5.975306e-06
1.237500e-11,5.974094e-06
1.240000e-11,5.972680e-06
1.242500e-11,5.971065e-06
1.245000e-11,5.969252e-06
1.247500e-11,5.967248e-06
1.250000e-11,5.965056e-06
1.252500e-11,5.962684e-06
1.255000e-11,5.960140e-06
1.257500e-11,5.957431e-06
1.260000e-11,5.954569e-06
1.262500e-11,5.951562e-06
1.265000e-11,5.948423e-06
1.267500e-11,5.945162e-06
1.270000e-11,5.941793e-06
1.272500e-11,5.938330e-06
1.275000e-11,5.934784e-06
1.277500e-11,5.931172e-06
1.280000e-11,5.927507e-06
1.282500e-11,5.923804e-06
1.285000e-11,5.920079e-06
1.287500e-11,5.916347e-06
1.290000e-11,5.912623e-06
1.292500e-11,5.908922e-06
1.295000e-11,5.905261e-06
1.297500e-11,5.901654e-06
1.300000e-11,5.898116e-06
1.302500e-11,5.894663e-06
1.305000e-11,5.891307e-06
1.307500e-11,5.888063e-06
1.310000e-11,5.884945e-06
1.312500e-11,5.881964e-06
1.315000e-11,5.879133e-06
1.317500e-11,5.876463e-06
1.320000e-11,5.873965e-06
1.322500e-11,5.871649e-06
1.325000e-11,5.869522e-06
1.327500e-11,5.867593e-06
1.330000e-11,5.865869e-06
1.332500e-11,5.864356e-06
1.335000e-11,5.863059e-06
1.337500e-11,5.861981e-06
1.340000e-11,5.861125e-06
1.342500e-11,5.860493e-06
1.345000e-11,5.860085e-06
1.347500e-11,5.859901e-06
1.350000e-11,5.859940e-06
1.352500e-11,5.860198e-06
1.355000e-11,5.860672e-06
1.357500e-11,5.861358e-06
1.360000e-11,5.862248e-06
1.362500e-11,5.863338e-06
1.365000e-11,5.864619e-06
1.367500e-11,5.866082e-06
1.370000e-11,5.867718e-06
1.372500e-11,5.869517e-06
1.375000e-11,5.871468e-06
1.377500e-11,5.873559e-06
1.380000e-11,5.875778e-06
1.382500e-11,5.878111e-06
1.385000e-11,5.880546e-06
1.387500e-11,5.883069e-06
1.390000e-11,5.885664e-06
1.392500e-11,5.888319e-06
1.395000e-11,5.891017e-06
1.397500e-11,5.893745e-06
1.400000e-11,5.896486e-06
1.402500e-11,5.899226e-06
1.405000e-11,5.901951e-06
