time,"I(LD)","I(BD)","I(BS)","I(ROUT)"
1.250000e-12,8.940494e-08,1.248204e-08,4.314226e-08,8.940494e-08
1.260000e-12,9.173494e-08,1.279281e-08,4.415083e-08,9.173494e-08
1.270000e-12,9.410207e-08,1.310773e-08,4.517223e-08,9.410207e-08
1.280000e-12,9.650628e-08,1.342675e-08,4.620635e-08,9.650628e-08
1.290000e-12,9.894747e-08,1.374982e-08,4.725308e-08,9.894747e-08
1.300000e-12,1.014255e-07,1.407689e-08,4.831229e-08,1.014255e-07
1.310000e-12,1.039404e-07,1.440791e-08,4.938385e-08,1.039404e-07
1.320000e-12,1.064918e-07,1.474281e-08,5.046764e-08,1.064918e-07
1.330000e-12,1.090797e-07,1.508153e-08,5.156351e-08,1.090797e-07
1.340000e-12,1.117038e-07,1.542401e-08,5.267131e-08,1.117038e-07
1.350000e-12,1.143639e-07,1.577019e-08,5.379090e-08,1.143639e-07
1.360000e-12,1.170599e-07,1.611998e-08,5.492210e-08,1.170599e-07
1.370000e-12,1.197913e-07,1.647332e-08,5.606475e-08,1.197913e-07
1.380000e-12,1.225581e-07,1.683013e-08,5.721868e-08,1.225581e-07
1.390000e-12,1.253599e-07,1.719033e-08,5.838371e-08,1.253599e-07
1.400000e-12,1.281963e-07,1.755384e-08,5.955965e-08,1.281963e-07
1.410000e-12,1.310670e-07,1.792057e-08,6.074631e-08,1.310670e-07
1.420000e-12,1.339717e-07,1.829043e-08,6.194350e-08,1.339717e-07
1.430000e-12,1.369100e-07,1.866332e-08,6.315101e-08,1.369100e-07
1.440000e-12,1.398814e-07,1.903917e-08,6.436863e-08,1.398814e-07
1.450000e-12,1.428856e-07,1.941786e-08,6.559615e-08,1.428856e-07
1.460000e-12,1.459221e-07,1.979930e-08,6.683334e-08,1.459221e-07
1.470000e-12,1.489905e-07,2.018338e-08,6.807999e-08,1.489905e-07
1.480000e-12,1.520901e-07,2.057001e-08,6.933586e-08,1.520901e-07
1.490000e-12,1.552206e-07,2.095906e-08,7.060072e-08,1.552206e-07
1.500000e-12,1.583814e-07,2.135043e-08,7.187432e-08,1.583814e-07
1.510000e-12,1.615720e-07,2.174401e-08,7.315643e-08,1.615720e-07
1.520000e-12,1.647917e-07,2.213968e-08,7.444679e-08,1.647917e-07
1.530000e-12,1.680399e-07,2.253733e-08,7.574516e-08,1.680399e-07
1.540000e-12,1.713161e-07,2.293682e-08,7.705127e-08,1.713161e-07
1.550000e-12,1.746196e-07,2.333805e-08,7.836486e-08,1.746196e-07
1.560000e-12,1.779497e-07,2.374088e-08,7.968567e-08,1.779497e-07
1.570000e-12,1.813058e-07,2.414519e-08,8.101343e-08,1.813058e-07
1.580000e-12,1.846871e-07,2.455086e-08,8.234787e-08,1.846871e-07
1.590000e-12,1.880930e-07,2.495774e-08,8.368871e-08,1.880930e-07
1.600000e-12,1.915226e-07,2.536570e-08,8.503568e-08,1.915226e-07
1.610000e-12,1.949753e-07,2.577462e-08,8.638850e-08,1.949753e-07
1.620000e-12,1.984502e-07,2.618436e-08,8.774688e-08,1.984502e-07
1.630000e-12,2.019465e-07,2.659478e-08,8.911054e-08,2.019465e-07
1.640000e-12,2.054635e-07,2.700574e-08,9.047919e-08,2.054635e-07
1.650000e-12,2.090003e-07,2.741710e-08,9.185255e-08,2.090003e-07
1.660000e-12,2.125560e-07,2.782872e-08,9.323032e-08,2.125560e-07
1.670000e-12,2.161297e-07,2.824046e-08,9.461221e-08,2.161297e-07
1.680000e-12,2.197207e-07,2.865217e-08,9.599794e-08,2.197207e-07
1.690000e-12,2.233279e-07,2.906371e-08,9.738719e-08,2.233279e-07
1.700000e-12,2.269504e-07,2.947494e-08,9.877969e-08,2.269504e-07
1.710000e-12,2.305874e-07,2.988570e-08,1.001751e-07,2.305874e-07
1.720000e-12,2.342378e-07,3.029586e-08,1.015732e-07,2.342378e-07
1.730000e-12,2.379006e-07,3.070527e-08,1.029737e-07,2.379006e-07
1.740000e-12,2.415750e-07,3.111377e-08,1.043762e-07,2.415750e-07
1.750000e-12,2.452599e-07,3.152123e-08,1.057805e-07,2.452599e-07
1.760000e-12,2.489543e-07,3.192749e-08,1.071863e-07,2.489543e-07
1.770000e-12,2.526571e-07,3.233241e-08,1.085933e-07,2.526571e-07
1.780000e-12,2.563674e-07,3.273584e-08,1.100011e-07,2.563674e-07
1.790000e-12,2.600841e-07,3.313763e-08,1.114096e-07,2.600841e-07
1.800000e-12,2.638061e-07,3.353763e-08,1.128184e-07,2.638061e-07
1.810000e-12,2.675324e-07,3.393571e-08,1.142272e-07,2.675324e-07
1.820000e-12,2.712619e-07,3.433171e-08,1.156358e-07,2.712619e-07
1.830000e-12,2.749935e-07,3.472549e-08,1.170438e-07,2.749935e-07
1.840000e-12,2.787261e-07,3.511691e-08,1.184511e-07,2.787261e-07
1.850000e-12,2.824586e-07,3.550582e-08,1.198573e-07,2.824586e-07
1.860000e-12,2.861899e-07,3.589209e-08,1.212621e-07,2.861899e-07
1.870000e-12,2.899189e-07,3.627556e-08,1.226653e-07,2.899189e-07
1.880000e-12,2.936445e-07,3.665611e-08,1.240667e-07,2.936445e-07
1.890000e-12,2.973655e-07,3.703359e-08,1.254659e-07,2.973655e-07
1.900000e-12,3.010808e-07,3.740788e-08,1.268627e-07,3.010808e-07
1.910000e-12,3.047892e-07,3.777882e-08,1.282569e-07,3.047892e-07
1.920000e-12,3.084898e-07,3.814630e-08,1.296482e-07,3.084898e-07
1.930000e-12,3.121812e-07,3.851019e-08,1.310363e-07,3.121812e-07
1.940000e-12,3.158624e-07,3.887034e-08,1.324211e-07,3.158624e-07
1.950000e-12,3.195321e-07,3.922665e-08,1.338023e-07,3.195321e-07
1.960000e-12,3.231894e-07,3.957898e-08,1.351797e-07,3.231894e-07
1.970000e-12,3.268330e-07,3.992721e-08,1.365531e-07,3.268330e-07
1.980000e-12,3.304618e-07,4.027124e-08,1.379222e-07,3.304618e-07
1.990000e-12,3.340746e-07,4.061093e-08,1.392868e-07,3.340746e-07
2.000000e-12,3.376704e-07,4.094618e-08,1.406468e-07,3.376704e-07
2.010000e-12,3.412480e-07,4.127687e-08,1.420020e-07,3.412480e-07
2.020000e-12,3.448062e-07,4.160291e-08,1.433521e-07,3.448062e-07
2.030000e-12,3.483440e-07,4.192418e-08,1.446969e-07,3.483440e-07
2.040000e-12,3.518602e-07,4.224059e-08,1.460364e-07,3.518602e-07
2.050000e-12,3.553538e-07,4.255204e-08,1.473703e-07,3.553538e-07
2.060000e-12,3.588236e-07,4.285843e-08,1.486985e-07,3.588236e-07
2.070000e-12,3.622686e-07,4.315967e-08,1.500209e-07,3.622686e-07
2.080000e-12,3.656876e-07,4.345569e-08,1.513372e-07,3.656876e-07
2.090000e-12,3.690796e-07,4.374639e-08,1.526473e-07,3.690796e-07
2.100000e-12,3.724435e-07,4.403169e-08,1.539512e-07,3.724435e-07
2.110000e-12,3.757784e-07,4.431153e-08,1.552487e-07,3.757784e-07
2.120000e-12,3.790831e-07,4.458582e-08,1.565397e-07,3.790831e-07
2.130000e-12,3.823566e-07,4.485451e-08,1.578240e-07,3.823566e-07
2.140000e-12,3.855980e-07,4.511753e-08,1.591016e-07,3.855980e-07
2.150000e-12,3.888062e-07,4.537481e-08,1.603725e-07,3.888062e-07
2.160000e-12,3.919802e-07,4.562631e-08,1.616364e-07,3.919802e-07
2.170000e-12,3.951191e-07,4.587198e-08,1.628934e-07,3.951191e-07
2.180000e-12,3.982220e-07,4.611176e-08,1.641434e-07,3.982220e-07
2.190000e-12,4.012879e-07,4.634563e-08,1.653863e-07,4.012879e-07
2.200000e-12,4.043160e-07,4.657353e-08,1.666221e-07,4.043160e-07
2.210000e-12,4.073052e-07,4.679544e-08,1.678507e-07,4.073052e-07
2.220000e-12,4.102548e-07,4.701133e-08,1.690722e-07,4.102548e-07
2.230000e-12,4.131639e-07,4.722117e-08,1.702864e-07,4.131639e-07
2.240000e-12,4.160317e-07,4.742496e-08,1.714935e-07,4.160317e-07
2.250000e-12,4.188574e-07,4.762266e-08,1.726933e-07,4.188574e-07
2.260000e-12,4.216401e-07,4.781428e-08,1.738860e-07,4.216401e-07
2.270000e-12,4.243792e-07,4.799981e-08,1.750715e-07,4.243792e-07
2.280000e-12,4.270738e-07,4.817925e-08,1.762498e-07,4.270738e-07
2.290000e-12,4.297233e-07,4.835260e-08,1.774209e-07,4.297233e-07
2.300000e-12,4.323270e-07,4.851988e-08,1.785850e-07,4.323270e-07
2.310000e-12,4.348842e-07,4.868109e-08,1.797421e-07,4.348842e-07
2.320000e-12,4.373943e-07,4.883626e-08,1.808922e-07,4.373943e-07
2.330000e-12,4.398567e-07,4.898541e-08,1.820354e-07,4.398567e-07
2.340000e-12,4.422707e-07,4.912857e-08,1.831717e-07,4.422707e-07
2.350000e-12,4.446358e-07,4.926577e-08,1.843013e-07,4.446358e-07
2.360000e-12,4.469515e-07,4.939706e-08,1.854242e-07,4.469515e-07
2.370000e-12,4.492173e-07,4.952246e-08,1.865406e-07,4.492173e-07
2.380000e-12,4.514327e-07,4.964204e-08,1.876506e-07,4.514327e-07
2.390000e-12,4.535973e-07,4.975584e-08,1.887542e-07,4.535973e-07
2.400000e-12,4.557106e-07,4.986391e-08,1.898516e-07,4.557106e-07
2.410000e-12,4.577722e-07,4.996633e-08,1.909430e-07,4.577722e-07
2.420000e-12,4.597819e-07,5.006315e-08,1.920284e-07,4.597819e-07
2.430000e-12,4.617392e-07,5.015445e-08,1.931080e-07,4.617392e-07
2.440000e-12,4.636439e-07,5.024029e-08,1.941820e-07,4.636439e-07
2.450000e-12,4.654957e-07,5.032077e-08,1.952505e-07,4.654957e-07
2.460000e-12,4.672944e-07,5.039595e-08,1.963137e-07,4.672944e-07
2.470000e-12,4.690398e-07,5.046593e-08,1.973717e-07,4.690398e-07
2.480000e-12,4.707317e-07,5.053080e-08,1.984248e-07,4.707317e-07
2.490000e-12,4.723699e-07,5.059066e-08,1.994732e-07,4.723699e-07
2.500000e-12,4.739544e-07,5.064560e-08,2.005170e-07,4.739544e-07
2.510000e-12,4.754850e-07,5.069572e-08,2.015564e-07,4.754850e-07
2.520000e-12,4.769618e-07,5.074114e-08,2.025916e-07,4.769618e-07
2.530000e-12,4.783848e-07,5.078196e-08,2.036229e-07,4.783848e-07
2.540000e-12,4.797538e-07,5.081829e-08,2.046504e-07,4.797538e-07
2.550000e-12,4.810691e-07,5.085027e-08,2.056744e-07,4.810691e-07
2.560000e-12,4.823307e-07,5.087800e-08,2.066951e-07,4.823307e-07
2.570000e-12,4.835386e-07,5.090160e-08,2.077127e-07,4.835386e-07
2.580000e-12,4.846931e-07,5.092122e-08,2.087274e-07,4.846931e-07
2.590000e-12,4.857943e-07,5.093697e-08,2.097396e-07,4.857943e-07
2.600000e-12,4.868425e-07,5.094899e-08,2.107494e-07,4.868425e-07
2.610000e-12,4.878379e-07,5.095742e-08,2.117571e-07,4.878379e-07
2.620000e-12,4.887808e-07,5.096239e-08,2.127629e-07,4.887808e-07
2.630000e-12,4.896714e-07,5.096405e-08,2.137670e-07,4.896714e-07
2.640000e-12,4.905101e-07,5.096254e-08,2.147698e-07,4.905101e-07
2.650000e-12,4.912974e-07,5.095800e-08,2.157715e-07,4.912974e-07
2.660000e-12,4.920335e-07,5.095059e-08,2.167723e-07,4.920335e-07
2.670000e-12,4.927190e-07,5.094045e-08,2.177726e-07,4.927190e-07
2.680000e-12,4.933543e-07,5.092773e-08,2.187724e-07,4.933543e-07
2.690000e-12,4.939398e-07,5.091259e-08,2.197722e-07,4.939398e-07
2.700000e-12,4.944762e-07,5.089518e-08,2.207722e-07,4.944762e-07
2.710000e-12,4.949639e-07,5.087566e-08,2.217726e-07,4.949639e-07
2.720000e-12,4.954036e-07,5.085418e-08,2.227737e-07,4.954036e-07
2.730000e-12,4.957959e-07,5.083091e-08,2.237758e-07,4.957959e-07
2.740000e-12,4.961414e-07,5.080601e-08,2.247791e-07,4.961414e-07
2.750000e-12,4.964407e-07,5.077962e-08,2.257839e-07,4.964407e-07
2.760000e-12,4.966946e-07,5.075192e-08,2.267904e-07,4.966946e-07
2.770000e-12,4.969038e-07,5.072307e-08,2.277990e-07,4.969038e-07
2.780000e-12,4.970690e-07,5.069323e-08,2.288098e-07,4.970690e-07
2.790000e-12,4.971910e-07,5.066255e-08,2.298232e-07,4.971910e-07
2.800000e-12,4.972707e-07,5.063121e-08,2.308393e-07,4.972707e-07
2.810000e-12,4.973088e-07,5.059936e-08,2.318585e-07,4.973088e-07
2.820000e-12,4.973061e-07,5.056716e-08,2.328810e-07,4.973061e-07
2.830000e-12,4.972636e-07,5.053478e-08,2.339070e-07,4.972636e-07
2.840000e-12,4.971822e-07,5.050237e-08,2.349368e-07,4.971822e-07
2.850000e-12,4.970627e-07,5.047010e-08,2.359707e-07,4.970627e-07
2.860000e-12,4.969061e-07,5.043811e-08,2.370087e-07,4.969061e-07
2.870000e-12,4.967134e-07,5.040658e-08,2.380513e-07,4.967134e-07
2.880000e-12,4.964856e-07,5.037565e-08,2.390986e-07,4.964856e-07
2.890000e-12,4.962236e-07,5.034548e-08,2.401508e-07,4.962236e-07
2.900000e-12,4.959284e-07,5.031622e-08,2.412082e-07,4.959284e-07
2.910000e-12,4.956011e-07,5.028803e-08,2.422710e-07,4.956011e-07
2.920000e-12,4.952428e-07,5.026105e-08,2.433394e-07,4.952428e-07
2.930000e-12,4.948545e-07,5.023542e-08,2.444136e-07,4.948545e-07
2.940000e-12,4.944373e-07,5.021130e-08,2.454938e-07,4.944373e-07
2.950000e-12,4.939922e-07,5.018883e-08,2.465801e-07,4.939922e-07
2.960000e-12,4.935206e-07,5.016814e-08,2.476729e-07,4.935206e-07
2.970000e-12,4.930233e-07,5.014937e-08,2.487722e-07,4.930233e-07
2.980000e-12,4.925016e-07,5.013266e-08,2.498782e-07,4.925016e-07
2.990000e-12,4.919567e-07,5.011814e-08,2.509911e-07,4.919567e-07
3.000000e-12,4.913897e-07,5.010594e-08,2.521111e-07,4.913897e-07
3.010000e-12,4.908017e-07,5.009618e-08,2.532383e-07,4.908017e-07
3.020000e-12,4.901940e-07,5.008899e-08,2.543728e-07,4.901940e-07
3.030000e-12,4.895677e-07,5.008448e-08,2.555149e-07,4.895677e-07
3.040000e-12,4.889241e-07,5.008277e-08,2.566646e-07,4.889241e-07
3.050000e-12,4.882643e-07,5.008396e-08,2.578220e-07,4.882643e-07
3.060000e-12,4.875895e-07,5.008818e-08,2.589873e-07,4.875895e-07
3.070000e-12,4.869010e-07,5.009551e-08,2.601605e-07,4.869010e-07
3.080000e-12,4.862001e-07,5.010607e-08,2.613419e-07,4.862001e-07
3.090000e-12,4.854878e-07,5.011993e-08,2.625314e-07,4.854878e-07
3.100000e-12,4.847654e-07,5.013721e-08,2.637291e-07,4.847654e-07
3.110000e-12,4.840342e-07,5.015798e-08,2.649351e-07,4.840342e-07
3.120000e-12,4.832954e-07,5.018232e-08,2.661496e-07,4.832954e-07
3.130000e-12,4.825502e-07,5.021032e-08,2.673724e-07,4.825502e-07
3.140000e-12,4.817999e-07,5.024204e-08,2.686038e-07,4.817999e-07
3.150000e-12,4.810456e-07,5.027756e-08,2.698437e-07,4.810456e-07
3.160000e-12,4.802885e-07,5.031694e-08,2.710921e-07,4.802885e-07
3.170000e-12,4.795300e-07,5.036024e-08,2.723491e-07,4.795300e-07
3.180000e-12,4.787712e-07,5.040751e-08,2.736147e-07,4.787712e-07
3.190000e-12,4.780132e-07,5.045880e-08,2.748889e-07,4.780132e-07
3.200000e-12,4.772574e-07,5.051416e-08,2.761716e-07,4.772574e-07
3.210000e-12,4.765049e-07,5.057362e-08,2.774629e-07,4.765049e-07
3.220000e-12,4.757569e-07,5.063723e-08,2.787628e-07,4.757569e-07
3.230000e-12,4.750145e-07,5.070500e-08,2.800711e-07,4.750145e-07
3.240000e-12,4.742789e-07,5.077696e-08,2.813879e-07,4.742789e-07
3.250000e-12,4.735513e-07,5.085314e-08,2.827131e-07,4.735513e-07
3.260000e-12,4.728329e-07,5.093354e-08,2.840467e-07,4.728329e-07
3.270000e-12,4.721246e-07,5.101818e-08,2.853885e-07,4.721246e-07
3.280000e-12,4.714278e-07,5.110705e-08,2.867385e-07,4.714278e-07
3.290000e-12,4.707434e-07,5.120016e-08,2.880966e-07,4.707434e-07
3.300000e-12,4.700726e-07,5.129749e-08,2.894628e-07,4.700726e-07
3.310000e-12,4.694165e-07,5.139905e-08,2.908368e-07,4.694165e-07
3.320000e-12,4.687760e-07,5.150480e-08,2.922186e-07,4.687760e-07
3.330000e-12,4.681523e-07,5.161472e-08,2.936081e-07,4.681523e-07
3.340000e-12,4.675464e-07,5.172879e-08,2.950051e-07,4.675464e-07
3.350000e-12,4.669593e-07,5.184698e-08,2.964095e-07,4.669593e-07
3.360000e-12,4.663919e-07,5.196924e-08,2.978211e-07,4.663919e-07
3.370000e-12,4.658453e-07,5.209553e-08,2.992399e-07,4.658453e-07
3.380000e-12,4.653204e-07,5.222581e-08,3.006655e-07,4.653204e-07
3.390000e-12,4.648181e-07,5.236002e-08,3.020979e-07,4.648181e-07
3.400000e-12,4.643394e-07,5.249810e-08,3.035369e-07,4.643394e-07
3.410000e-12,4.638851e-07,5.263999e-08,3.049823e-07,4.638851e-07
3.420000e-12,4.634561e-07,5.278562e-08,3.064338e-07,4.634561e-07
3.430000e-12,4.630532e-07,5.293492e-08,3.078913e-07,4.630532e-07
3.440000e-12,4.626773e-07,5.308781e-08,3.093546e-07,4.626773e-07
3.450000e-12,4.623292e-07,5.324421e-08,3.108235e-07,4.623292e-07
3.460000e-12,4.620097e-07,5.340404e-08,3.122977e-07,4.620097e-07
