time,"V(A)","I(ROUT)","P(A)","P(OUT)"
1.540000e-12,6.523064e-05,1.834752e-07,1.945218e-01,1.903331e-01
1.550000e-12,6.509834e-05,1.869291e-07,1.965018e-01,1.922284e-01
1.560000e-12,6.495961e-05,1.904079e-07,1.984777e-01,1.941187e-01
1.570000e-12,6.481466e-05,1.939109e-07,2.004492e-01,1.960039e-01
1.580000e-12,6.466369e-05,1.974372e-07,2.024163e-01,1.978838e-01
1.590000e-12,6.450690e-05,2.009861e-07,2.043787e-01,1.997582e-01
1.600000e-12,6.434451e-05,2.045565e-07,2.063363e-01,2.016270e-01
1.610000e-12,6.417672e-05,2.081478e-07,2.082888e-01,2.034900e-01
1.620000e-12,6.400374e-05,2.117589e-07,2.102362e-01,2.053472e-01
1.630000e-12,6.382578e-05,2.153890e-07,2.121782e-01,2.071982e-01
1.640000e-12,6.364304e-05,2.190372e-07,2.141148e-01,2.090431e-01
1.650000e-12,6.345573e-05,2.227025e-07,2.160457e-01,2.108816e-01
1.660000e-12,6.326407e-05,2.263840e-07,2.179709e-01,2.127137e-01
1.670000e-12,6.306826e-05,2.300806e-07,2.198902e-01,2.145393e-01
1.680000e-12,6.286851e-05,2.337914e-07,2.218034e-01,2.163583e-01
1.690000e-12,6.266503e-05,2.375154e-07,2.237106e-01,2.181704e-01
1.700000e-12,6.245803e-05,2.412516e-07,2.256115e-01,2.199758e-01
1.710000e-12,6.224771e-05,2.449988e-07,2.275061e-01,2.217742e-01
1.720000e-12,6.203427e-05,2.487561e-07,2.293943e-01,2.235657e-01
1.730000e-12,6.181793e-05,2.525224e-07,2.312759e-01,2.253500e-01
1.740000e-12,6.159889e-05,2.562966e-07,2.331509e-01,2.271273e-01
1.750000e-12,6.137735e-05,2.600777e-07,2.350192e-01,2.288973e-01
1.760000e-12,6.115351e-05,2.638644e-07,2.368808e-01,2.306602e-01
1.770000e-12,6.092757e-05,2.676558e-07,2.387355e-01,2.324157e-01
1.780000e-12,6.069973e-05,2.714506e-07,2.405833e-01,2.341639e-01
1.790000e-12,6.047019e-05,2.752478e-07,2.424242e-01,2.359048e-01
1.800000e-12,6.023914e-05,2.790462e-07,2.442581e-01,2.376382e-01
1.810000e-12,6.000678e-05,2.828446e-07,2.460849e-01,2.393643e-01
1.820000e-12,5.977329e-05,2.866419e-07,2.479047e-01,2.410830e-01
1.830000e-12,5.953887e-05,2.904369e-07,2.497174e-01,2.427943e-01
1.840000e-12,5.930370e-05,2.942285e-07,2.515229e-01,2.444981e-01
1.850000e-12,5.906797e-05,2.980154e-07,2.533213e-01,2.461945e-01
1.860000e-12,5.883185e-05,3.017966e-07,2.551125e-01,2.478836e-01
1.870000e-12,5.859554e-05,3.055707e-07,2.568965e-01,2.495652e-01
1.880000e-12,5.835920e-05,3.093367e-07,2.586734e-01,2.512395e-01
1.890000e-12,5.812301e-05,3.130933e-07,2.604431e-01,2.529065e-01
1.900000e-12,5.788715e-05,3.168394e-07,2.622056e-01,2.545661e-01
1.910000e-12,5.765178e-05,3.205737e-07,2.639609e-01,2.562185e-01
1.920000e-12,5.741706e-05,3.242951e-07,2.657091e-01,2.578637e-01
1.930000e-12,5.718317e-05,3.280023e-07,2.674502e-01,2.595017e-01
1.940000e-12,5.695026e-05,3.316943e-07,2.691842e-01,2.611326e-01
1.950000e-12,5.671849e-05,3.353697e-07,2.709111e-01,2.627565e-01
1.960000e-12,5.648801e-05,3.390275e-07,2.726311e-01,2.643734e-01
1.970000e-12,5.625897e-05,3.426664e-07,2.743440e-01,2.659833e-01
1.980000e-12,5.603153e-05,3.462853e-07,2.760500e-01,2.675864e-01
1.990000e-12,5.580583e-05,3.498829e-07,2.777491e-01,2.691828e-01
2.000000e-12,5.558200e-05,3.534583e-07,2.794414e-01,2.707724e-01
2.010000e-12,5.536018e-05,3.570101e-07,2.811269e-01,2.723555e-01
2.020000e-12,5.514052e-05,3.605374e-07,2.828058e-01,2.739321e-01
2.030000e-12,5.492313e-05,3.640388e-07,2.844779e-01,2.755022e-01
2.040000e-12,5.470816e-05,3.675134e-07,2.861436e-01,2.770661e-01
2.050000e-12,5.449571e-05,3.709600e-07,2.878027e-01,2.786237e-01
2.060000e-12,5.428592e-05,3.743775e-07,2.894554e-01,2.801753e-01
2.070000e-12,5.407889e-05,3.777648e-07,2.911017e-01,2.817208e-01
2.080000e-12,5.387474e-05,3.811209e-07,2.927419e-01,2.832605e-01
2.090000e-12,5.367358e-05,3.844447e-07,2.943758e-01,2.847944e-01
2.100000e-12,5.347552e-05,3.877352e-07,2.960037e-01,2.863227e-01
2.110000e-12,5.328066e-05,3.909913e-07,2.976257e-01,2.878455e-01
2.120000e-12,5.308909e-05,3.942121e-07,2.992417e-01,2.893629e-01
2.130000e-12,5.290091e-05,3.973965e-07,3.008520e-01,2.908750e-01
2.140000e-12,5.271621e-05,4.005436e-07,3.024567e-01,2.923820e-01
2.150000e-12,5.253507e-05,4.036525e-07,3.040558e-01,2.938840e-01
2.160000e-12,5.235759e-05,4.067221e-07,3.056494e-01,2.953811e-01
2.170000e-12,5.218384e-05,4.097517e-07,3.072377e-01,2.968735e-01
2.180000e-12,5.201389e-05,4.127402e-07,3.088207e-01,2.983614e-01
2.190000e-12,5.184782e-05,4.156870e-07,3.103987e-01,2.998448e-01
2.200000e-12,5.168570e-05,4.185910e-07,3.119717e-01,3.013239e-01
2.210000e-12,5.152758e-05,4.214515e-07,3.135398e-01,3.027989e-01
2.220000e-12,5.137354e-05,4.242677e-07,3.151032e-01,3.042698e-01
2.230000e-12,5.122363e-05,4.270389e-07,3.166619e-01,3.057369e-01
2.240000e-12,5.107790e-05,4.297642e-07,3.182162e-01,3.072004e-01
2.250000e-12,5.093640e-05,4.324431e-07,3.197661e-01,3.086602e-01
2.260000e-12,5.079917e-05,4.350747e-07,3.213118e-01,3.101167e-01
2.270000e-12,5.066627e-05,4.376584e-07,3.228533e-01,3.115699e-01
2.280000e-12,5.053773e-05,4.401936e-07,3.243909e-01,3.130201e-01
2.290000e-12,5.041358e-05,4.426798e-07,3.259247e-01,3.144673e-01
2.300000e-12,5.029387e-05,4.451162e-07,3.274547e-01,3.159118e-01
2.310000e-12,5.017860e-05,4.475024e-07,3.289812e-01,3.173536e-01
2.320000e-12,5.006782e-05,4.498379e-07,3.305043e-01,3.187930e-01
2.330000e-12,4.996154e-05,4.521221e-07,3.320240e-01,3.202300e-01
2.340000e-12,4.985978e-05,4.543546e-07,3.335406e-01,3.216650e-01
2.350000e-12,4.976255e-05,4.565351e-07,3.350542e-01,3.230979e-01
2.360000e-12,4.966987e-05,4.586630e-07,3.365648e-01,3.245290e-01
2.370000e-12,4.958175e-05,4.607381e-07,3.380728e-01,3.259584e-01
2.380000e-12,4.949818e-05,4.627600e-07,3.395781e-01,3.273863e-01
2.390000e-12,4.941918e-05,4.647285e-07,3.410809e-01,3.288128e-01
2.400000e-12,4.934474e-05,4.666432e-07,3.425815e-01,3.302381e-01
2.410000e-12,4.927485e-05,4.685040e-07,3.440798e-01,3.316624e-01
2.420000e-12,4.920951e-05,4.703106e-07,3.455761e-01,3.330858e-01
2.430000e-12,4.914872e-05,4.720629e-07,3.470704e-01,3.345084e-01
2.440000e-12,4.909244e-05,4.737608e-07,3.485630e-01,3.359304e-01
2.450000e-12,4.904068e-05,4.754041e-07,3.500539e-01,3.373520e-01
2.460000e-12,4.899341e-05,4.769929e-07,3.515434e-01,3.387733e-01
2.470000e-12,4.895060e-05,4.785271e-07,3.530314e-01,3.401944e-01
2.480000e-12,4.891224e-05,4.800067e-07,3.545183e-01,3.416155e-01
2.490000e-12,4.887830e-05,4.814317e-07,3.560040e-01,3.430368e-01
2.500000e-12,4.884874e-05,4.828023e-07,3.574888e-01,3.444584e-01
2.510000e-12,4.882354e-05,4.841186e-07,3.589727e-01,3.458803e-01
2.520000e-12,4.880267e-05,4.853807e-07,3.604560e-01,3.473029e-01
2.530000e-12,4.878607e-05,4.865887e-07,3.619386e-01,3.487262e-01
2.540000e-12,4.877372e-05,4.877430e-07,3.634208e-01,3.501503e-01
2.550000e-12,4.876558e-05,4.888438e-07,3.649028e-01,3.515754e-01
2.560000e-12,4.876159e-05,4.898913e-07,3.663845e-01,3.530016e-01
2.570000e-12,4.876172e-05,4.908860e-07,3.678662e-01,3.544291e-01
2.580000e-12,4.876591e-05,4.918280e-07,3.693479e-01,3.558579e-01
2.590000e-12,4.877412e-05,4.927179e-07,3.708298e-01,3.572882e-01
