time,"V(L4|XLOADINA)","V(L4|XLOADINB)","V(8000)"
1.650000e-12,7.879311e-06,8.234137e-06,3.136278e-05
1.660000e-12,7.885272e-06,8.236193e-06,3.149237e-05
1.670000e-12,7.892923e-06,8.239945e-06,3.161952e-05
1.680000e-12,7.902195e-06,8.245330e-06,3.174427e-05
1.690000e-12,7.913019e-06,8.252281e-06,3.186664e-05
1.700000e-12,7.925320e-06,8.260730e-06,3.198669e-05
1.710000e-12,7.939023e-06,8.270605e-06,3.210444e-05
1.720000e-12,7.954047e-06,8.281829e-06,3.221993e-05
1.730000e-12,7.970311e-06,8.294325e-06,3.233320e-05
1.740000e-12,7.987732e-06,8.308013e-06,3.244430e-05
1.750000e-12,8.006223e-06,8.322811e-06,3.255325e-05
1.760000e-12,8.025695e-06,8.338633e-06,3.266011e-05
1.770000e-12,8.046061e-06,8.355393e-06,3.276492e-05
1.780000e-12,8.067227e-06,8.373004e-06,3.286771e-05
1.790000e-12,8.089103e-06,8.391376e-06,3.296854e-05
1.800000e-12,8.111594e-06,8.410418e-06,3.306745e-05
1.810000e-12,8.134607e-06,8.430038e-06,3.316447e-05
1.820000e-12,8.158046e-06,8.450144e-06,3.325967e-05
1.830000e-12,8.181816e-06,8.470643e-06,3.335308e-05
1.840000e-12,8.205821e-06,8.491440e-06,3.344474e-05
1.850000e-12,8.229966e-06,8.512442e-06,3.353472e-05
1.860000e-12,8.254155e-06,8.533555e-06,3.362304e-05
1.870000e-12,8.278293e-06,8.554686e-06,3.370977e-05
1.880000e-12,8.302286e-06,8.575740e-06,3.379494e-05
1.890000e-12,8.326040e-06,8.596627e-06,3.387860e-05
1.900000e-12,8.349462e-06,8.617252e-06,3.396081e-05
1.910000e-12,8.372460e-06,8.637526e-06,3.404160e-05
1.920000e-12,8.394945e-06,8.657359e-06,3.412103e-05
1.930000e-12,8.416828e-06,8.676662e-06,3.419915e-05
1.940000e-12,8.438022e-06,8.695348e-06,3.427599e-05
1.950000e-12,8.458441e-06,8.713332e-06,3.435162e-05
1.960000e-12,8.478003e-06,8.730531e-06,3.442607e-05
1.970000e-12,8.496627e-06,8.746864e-06,3.449939e-05
1.980000e-12,8.514235e-06,8.762251e-06,3.457163e-05
1.990000e-12,8.530750e-06,8.776616e-06,3.464283e-05
2.000000e-12,8.546100e-06,8.789884e-06,3.471304e-05
2.010000e-12,8.560214e-06,8.801984e-06,3.478231e-05
2.020000e-12,8.573025e-06,8.812848e-06,3.485068e-05
2.030000e-12,8.584468e-06,8.822409e-06,3.491820e-05
2.040000e-12,8.594484e-06,8.830605e-06,3.498490e-05
2.050000e-12,8.603013e-06,8.837377e-06,3.505084e-05
2.060000e-12,8.610001e-06,8.842667e-06,3.511605e-05
2.070000e-12,8.615399e-06,8.846423e-06,3.518059e-05
2.080000e-12,8.619158e-06,8.848596e-06,3.524448e-05
2.090000e-12,8.621235e-06,8.849140e-06,3.530778e-05
2.100000e-12,8.621591e-06,8.848013e-06,3.537051e-05
2.110000e-12,8.620190e-06,8.845176e-06,3.543273e-05
2.120000e-12,8.616999e-06,8.840594e-06,3.549447e-05
2.130000e-12,8.611992e-06,8.834238e-06,3.555577e-05
2.140000e-12,8.605143e-06,8.826080e-06,3.561667e-05
2.150000e-12,8.596433e-06,8.816097e-06,3.567719e-05
2.160000e-12,8.585846e-06,8.804270e-06,3.573739e-05
2.170000e-12,8.573371e-06,8.790585e-06,3.579730e-05
2.180000e-12,8.558999e-06,8.775030e-06,3.585694e-05
2.190000e-12,8.542727e-06,8.757599e-06,3.591635e-05
2.200000e-12,8.524556e-06,8.738288e-06,3.597557e-05
2.210000e-12,8.504490e-06,8.717100e-06,3.603463e-05
2.220000e-12,8.482537e-06,8.694038e-06,3.609355e-05
2.230000e-12,8.458711e-06,8.669113e-06,3.615237e-05
2.240000e-12,8.433027e-06,8.642338e-06,3.621112e-05
2.250000e-12,8.405507e-06,8.613729e-06,3.626982e-05
2.260000e-12,8.376174e-06,8.583308e-06,3.632850e-05
2.270000e-12,8.345057e-06,8.551099e-06,3.638718e-05
2.280000e-12,8.312189e-06,8.517131e-06,3.644590e-05
